Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1982,British Columbia,Private,Other Institutions,"73,474,000",26
1983,British Columbia,Private,Other Institutions,"84,699,000",29
1984,British Columbia,Private,Other Institutions,"96,477,000",33
1985,British Columbia,Private,Other Institutions,"101,136,000",34
1986,British Columbia,Private,Other Institutions,"105,220,000",35
1987,British Columbia,Private,Other Institutions,"114,368,000",38
1988,British Columbia,Private,Other Institutions,"122,232,500",39
1989,British Columbia,Private,Other Institutions,"127,860,500",40
1990,British Columbia,Private,Other Institutions,"150,823,250",46
1991,British Columbia,Private,Other Institutions,"170,979,000",51
1992,British Columbia,Private,Other Institutions,"181,549,000",52
1993,British Columbia,Private,Other Institutions,"203,091,050",57
1994,British Columbia,Private,Other Institutions,"169,682,142",46
1995,British Columbia,Private,Other Institutions,"160,354,138",42
1996,British Columbia,Private,Other Institutions,"189,033,445",49
1997,British Columbia,Private,Other Institutions,"187,214,615",47
1998,British Columbia,Private,Other Institutions,"187,028,420",47
1999,British Columbia,Private,Other Institutions,"195,997,121",49
2000,British Columbia,Private,Other Institutions,"229,085,194",57
2001,British Columbia,Private,Other Institutions,"214,972,447",53
2002,British Columbia,Private,Other Institutions,"235,978,774",58
2003,British Columbia,Private,Other Institutions,"268,393,776",65
2004,British Columbia,Private,Other Institutions,"323,244,854",78
2005,British Columbia,Private,Other Institutions,"269,342,546",64
2006,British Columbia,Private,Other Institutions,"361,545,589",85
2007,British Columbia,Private,Other Institutions,"436,615,341",102
2008,British Columbia,Private,Other Institutions,"489,808,756",113
2009,British Columbia,Private,Other Institutions,"549,250,424",125
2010,British Columbia,Private,Other Institutions,"594,433,392",133
2011,British Columbia,Private,Other Institutions,"584,496,111",130
2012,British Columbia,Private,Other Institutions,"630,729,085",138
2013,British Columbia,Private,Other Institutions,"655,720,801",142
2014,British Columbia,Private,Other Institutions,"695,115,522",148
2015,British Columbia,Private,Other Institutions,"739,848,644",155
2016,British Columbia,Private,Other Institutions,"755,788,993",156
2017,British Columbia,Private,Other Institutions,"788,249,725",160
2018,British Columbia,Private,Other Institutions,"852,088,139",171
2019,British Columbia,Private,Other Institutions,"895,910,717",177
1975,British Columbia,Private,Physicians,"1,122,047",0
1976,British Columbia,Private,Physicians,"1,172,362",0
1977,British Columbia,Private,Physicians,"1,535,904",1
1978,British Columbia,Private,Physicians,"1,477,833",1
1979,British Columbia,Private,Physicians,"2,212,971",1
1980,British Columbia,Private,Physicians,"2,270,147",1
1981,British Columbia,Private,Physicians,"1,951,949",1
1982,British Columbia,Private,Physicians,"3,302,502",1
1983,British Columbia,Private,Physicians,"3,704,924",1
1984,British Columbia,Private,Physicians,"4,982,590",2
1985,British Columbia,Private,Physicians,"4,684,378",2
1986,British Columbia,Private,Physicians,"4,920,641",2
1987,British Columbia,Private,Physicians,"4,922,928",2
1988,British Columbia,Private,Physicians,"7,162,287",2
1989,British Columbia,Private,Physicians,"10,420,294",3
1990,British Columbia,Private,Physicians,"13,501,590",4
1991,British Columbia,Private,Physicians,"15,904,337",5
1992,British Columbia,Private,Physicians,"18,197,615",5
1993,British Columbia,Private,Physicians,"18,452,941",5
1994,British Columbia,Private,Physicians,"20,165,256",5
1995,British Columbia,Private,Physicians,"25,666,293",7
1996,British Columbia,Private,Physicians,"29,551,681",8
1997,British Columbia,Private,Physicians,"15,958,239",4
1998,British Columbia,Private,Physicians,"22,290,450",6
1999,British Columbia,Private,Physicians,"34,706,363",9
2000,British Columbia,Private,Physicians,"44,866,870",11
2001,British Columbia,Private,Physicians,"21,049,310",5
2002,British Columbia,Private,Physicians,"25,004,850",6
2003,British Columbia,Private,Physicians,"19,130,400",5
2004,British Columbia,Private,Physicians,"61,531,000",15
2005,British Columbia,Private,Physicians,"35,793,600",9
2006,British Columbia,Private,Physicians,"53,576,400",13
2007,British Columbia,Private,Physicians,"45,060,310",11
2008,British Columbia,Private,Physicians,"41,540,800",10
2009,British Columbia,Private,Physicians,"68,112,680",15
2010,British Columbia,Private,Physicians,"66,402,702",15
2011,British Columbia,Private,Physicians,"61,829,198",14
2012,British Columbia,Private,Physicians,"59,774,527",13
2013,British Columbia,Private,Physicians,"52,820,968",11
2014,British Columbia,Private,Physicians,"67,224,704",14
2015,British Columbia,Private,Physicians,"96,921,046",20
2016,British Columbia,Private,Physicians,"102,949,310",21
2017,British Columbia,Private,Physicians,"125,130,959",25
2018,British Columbia,Private,Physicians,"129,817,504",26
2019,British Columbia,Private,Physicians,"142,297,325",28
1975,British Columbia,Private,Other Professionals,"143,472,825",57
1976,British Columbia,Private,Other Professionals,"161,034,155",64
1977,British Columbia,Private,Other Professionals,"190,911,868",74
1978,British Columbia,Private,Other Professionals,"231,748,069",89
1979,British Columbia,Private,Other Professionals,"260,498,306",98
1980,British Columbia,Private,Other Professionals,"282,736,265",103
1981,British Columbia,Private,Other Professionals,"282,090,524",100
1982,British Columbia,Private,Other Professionals,"361,936,808",126
1983,British Columbia,Private,Other Professionals,"430,605,469",148
1984,British Columbia,Private,Other Professionals,"484,760,035",164
1985,British Columbia,Private,Other Professionals,"507,264,897",171
1986,British Columbia,Private,Other Professionals,"532,114,982",177
1987,British Columbia,Private,Other Professionals,"576,928,316",189
1988,British Columbia,Private,Other Professionals,"636,906,114",204
1989,British Columbia,Private,Other Professionals,"703,805,419",220
1990,British Columbia,Private,Other Professionals,"784,326,922",238
1991,British Columbia,Private,Other Professionals,"846,037,626",251
1992,British Columbia,Private,Other Professionals,"904,316,045",261
1993,British Columbia,Private,Other Professionals,"916,959,725",257
1994,British Columbia,Private,Other Professionals,"965,122,668",263
1995,British Columbia,Private,Other Professionals,"1,081,049,869",286
1996,British Columbia,Private,Other Professionals,"1,168,459,601",302
1997,British Columbia,Private,Other Professionals,"1,274,816,676",323
1998,British Columbia,Private,Other Professionals,"1,508,161,300",379
1999,British Columbia,Private,Other Professionals,"1,431,295,224",357
2000,British Columbia,Private,Other Professionals,"1,585,048,280",392
2001,British Columbia,Private,Other Professionals,"1,647,578,200",404
2002,British Columbia,Private,Other Professionals,"1,776,835,560",433
2003,British Columbia,Private,Other Professionals,"1,918,438,700",465
2004,British Columbia,Private,Other Professionals,"2,101,301,500",506
2005,British Columbia,Private,Other Professionals,"2,060,080,200",491
2006,British Columbia,Private,Other Professionals,"2,228,784,800",525
2007,British Columbia,Private,Other Professionals,"2,251,424,910",525
2008,British Columbia,Private,Other Professionals,"2,687,420,960",618
2009,British Columbia,Private,Other Professionals,"2,659,489,020",603
2010,British Columbia,Private,Other Professionals,"2,483,557,011",556
2011,British Columbia,Private,Other Professionals,"2,492,032,810",554
2012,British Columbia,Private,Other Professionals,"2,780,063,934",609
2013,British Columbia,Private,Other Professionals,"2,632,105,935",568
2014,British Columbia,Private,Other Professionals,"2,955,264,866",628
2015,British Columbia,Private,Other Professionals,"3,118,169,806",653
2016,British Columbia,Private,Other Professionals,"3,290,426,836",677
2017,British Columbia,Private,Other Professionals,"3,500,676,502",711
2018,British Columbia,Private,Other Professionals,"3,635,366,392",728
2019,British Columbia,Private,Other Professionals,"3,823,947,038",756
1975,British Columbia,Private,Drugs,"111,500,736",45
1976,British Columbia,Private,Drugs,"127,262,340",50
1977,British Columbia,Private,Drugs,"138,737,286",54
1978,British Columbia,Private,Drugs,"145,972,575",56
1979,British Columbia,Private,Drugs,"184,160,714",69
1980,British Columbia,Private,Drugs,"226,190,717",82
1981,British Columbia,Private,Drugs,"229,432,983",81
1982,British Columbia,Private,Drugs,"213,227,322",74
1983,British Columbia,Private,Drugs,"219,230,290",75
1984,British Columbia,Private,Drugs,"263,096,461",89
1985,British Columbia,Private,Drugs,"278,770,038",94
1986,British Columbia,Private,Drugs,"284,095,769",95
1987,British Columbia,Private,Drugs,"341,902,645",112
1988,British Columbia,Private,Drugs,"378,897,917",122
1989,British Columbia,Private,Drugs,"421,159,319",132
1990,British Columbia,Private,Drugs,"465,399,769",141
1991,British Columbia,Private,Drugs,"507,318,311",150
1992,British Columbia,Private,Drugs,"552,232,603",159
1993,British Columbia,Private,Drugs,"613,495,670",172
1994,British Columbia,Private,Drugs,"663,624,037",181
1995,British Columbia,Private,Drugs,"703,208,492",186
1996,British Columbia,Private,Drugs,"733,310,259",189
1997,British Columbia,Private,Drugs,"781,404,523",198
1998,British Columbia,Private,Drugs,"873,502,857",219
1999,British Columbia,Private,Drugs,"928,843,447",232
2000,British Columbia,Private,Drugs,"1,005,357,465",249
2001,British Columbia,Private,Drugs,"1,095,653,368",269
2002,British Columbia,Private,Drugs,"1,237,198,789",302
2003,British Columbia,Private,Drugs,"1,385,094,275",336
2004,British Columbia,Private,Drugs,"1,536,769,263",370
2005,British Columbia,Private,Drugs,"1,574,001,323",375
2006,British Columbia,Private,Drugs,"1,776,314,530",419
2007,British Columbia,Private,Drugs,"1,739,745,478",405
2008,British Columbia,Private,Drugs,"1,892,207,445",435
2009,British Columbia,Private,Drugs,"1,994,394,415",452
2010,British Columbia,Private,Drugs,"2,457,488,182",550
2011,British Columbia,Private,Drugs,"2,394,933,912",532
2012,British Columbia,Private,Drugs,"2,397,613,094",525
2013,British Columbia,Private,Drugs,"2,362,909,487",510
2014,British Columbia,Private,Drugs,"2,304,696,105",490
2015,British Columbia,Private,Drugs,"2,494,853,273",522
2016,British Columbia,Private,Drugs,"2,541,276,121",523
2017,British Columbia,Private,Drugs,"2,684,081,687",545
2018,British Columbia,Private,Drugs,"2,707,671,354",542
2019,British Columbia,Private,Drugs,"2,790,063,312",552
1975,British Columbia,Private,Capital,"30,290,733",12
1976,British Columbia,Private,Capital,"65,389,127",26
1977,British Columbia,Private,Capital,"87,410,183",34
1978,British Columbia,Private,Capital,"53,526,155",20
1979,British Columbia,Private,Capital,"9,624,000",4
1980,British Columbia,Private,Capital,"76,084,000",28
1981,British Columbia,Private,Capital,"97,021,000",34
1982,British Columbia,Private,Capital,"59,350,000",21
1983,British Columbia,Private,Capital,"17,376,000",6
1984,British Columbia,Private,Capital,0,0
1985,British Columbia,Private,Capital,"11,475,000",4
1986,British Columbia,Private,Capital,"6,682,000",2
1987,British Columbia,Private,Capital,"26,671,000",9
1988,British Columbia,Private,Capital,"37,264,664",12
1989,British Columbia,Private,Capital,"49,890,185",16
1990,British Columbia,Private,Capital,"58,375,188",18
1991,British Columbia,Private,Capital,"53,718,514",16
1992,British Columbia,Private,Capital,"54,247,214",16
1993,British Columbia,Private,Capital,"60,487,683",17
1994,British Columbia,Private,Capital,"75,066,981",20
1995,British Columbia,Private,Capital,"41,298,891",11
1996,British Columbia,Private,Capital,"69,874,176",18
1997,British Columbia,Private,Capital,"78,200,780",20
1998,British Columbia,Private,Capital,"50,300,000",13
1999,British Columbia,Private,Capital,"169,100,000",42
2000,British Columbia,Private,Capital,"105,400,000",26
2001,British Columbia,Private,Capital,"161,600,000",40
2002,British Columbia,Private,Capital,"158,500,000",39
2003,British Columbia,Private,Capital,"127,800,000",31
2004,British Columbia,Private,Capital,"149,100,000",36
2005,British Columbia,Private,Capital,"206,300,000",49
2006,British Columbia,Private,Capital,"509,300,000",120
2007,British Columbia,Private,Capital,"389,100,000",91
2008,British Columbia,Private,Capital,"370,300,000",85
2009,British Columbia,Private,Capital,"260,600,000",59
2010,British Columbia,Private,Capital,"270,700,000",61
2011,British Columbia,Private,Capital,"365,631,914",81
2012,British Columbia,Private,Capital,"283,199,186",62
2013,British Columbia,Private,Capital,"101,400,000",22
2014,British Columbia,Private,Capital,"271,360,101",58
2015,British Columbia,Private,Capital,"234,836,357",49
2016,British Columbia,Private,Capital,"168,253,238",35
2017,British Columbia,Private,Capital,"200,845,222",41
2018,British Columbia,Private,Capital,"258,896,942",52
2019,British Columbia,Private,Capital,"240,014,396",47
1975,British Columbia,Private,Public Health,0,0
1976,British Columbia,Private,Public Health,0,0
1977,British Columbia,Private,Public Health,0,0
1978,British Columbia,Private,Public Health,0,0
1979,British Columbia,Private,Public Health,0,0
1980,British Columbia,Private,Public Health,0,0
1981,British Columbia,Private,Public Health,0,0
1982,British Columbia,Private,Public Health,0,0
1983,British Columbia,Private,Public Health,0,0
1984,British Columbia,Private,Public Health,0,0
1985,British Columbia,Private,Public Health,0,0
1986,British Columbia,Private,Public Health,0,0
1987,British Columbia,Private,Public Health,0,0
1988,British Columbia,Private,Public Health,0,0
1989,British Columbia,Private,Public Health,0,0
1990,British Columbia,Private,Public Health,0,0
1991,British Columbia,Private,Public Health,0,0
1992,British Columbia,Private,Public Health,0,0
1993,British Columbia,Private,Public Health,0,0
1994,British Columbia,Private,Public Health,0,0
1995,British Columbia,Private,Public Health,0,0
1996,British Columbia,Private,Public Health,0,0
1997,British Columbia,Private,Public Health,0,0
1998,British Columbia,Private,Public Health,0,0
1999,British Columbia,Private,Public Health,0,0
2000,British Columbia,Private,Public Health,0,0
2001,British Columbia,Private,Public Health,0,0
2002,British Columbia,Private,Public Health,0,0
2003,British Columbia,Private,Public Health,0,0
2004,British Columbia,Private,Public Health,0,0
2005,British Columbia,Private,Public Health,0,0
2006,British Columbia,Private,Public Health,0,0
2007,British Columbia,Private,Public Health,0,0
2008,British Columbia,Private,Public Health,0,0
2009,British Columbia,Private,Public Health,0,0
2010,British Columbia,Private,Public Health,0,0
2011,British Columbia,Private,Public Health,0,0
2012,British Columbia,Private,Public Health,0,0
2013,British Columbia,Private,Public Health,0,0
2014,British Columbia,Private,Public Health,0,0
2015,British Columbia,Private,Public Health,0,0
2016,British Columbia,Private,Public Health,0,0
2017,British Columbia,Private,Public Health,0,0
2018,British Columbia,Private,Public Health,0,0
2019,British Columbia,Private,Public Health,0,0
1975,British Columbia,Private,Administration,"12,120,797",5
1976,British Columbia,Private,Administration,"11,272,160",4
1977,British Columbia,Private,Administration,"18,490,122",7
1978,British Columbia,Private,Administration,"22,722,407",9
1979,British Columbia,Private,Administration,"27,385,370",10
1980,British Columbia,Private,Administration,"20,754,367",8
1981,British Columbia,Private,Administration,"41,548,713",15
1982,British Columbia,Private,Administration,"24,406,961",8
1983,British Columbia,Private,Administration,"26,049,720",9
1984,British Columbia,Private,Administration,"45,219,479",15
1985,British Columbia,Private,Administration,"46,153,525",16
1986,British Columbia,Private,Administration,"59,133,864",20
1987,British Columbia,Private,Administration,"56,358,982",18
1988,British Columbia,Private,Administration,"69,591,409",22
1989,British Columbia,Private,Administration,"85,121,874",27
1990,British Columbia,Private,Administration,"98,861,105",30
1991,British Columbia,Private,Administration,"111,375,807",33
1992,British Columbia,Private,Administration,"120,712,375",35
1993,British Columbia,Private,Administration,"131,980,155",37
1994,British Columbia,Private,Administration,"131,339,182",36
1995,British Columbia,Private,Administration,"145,265,026",38
1996,British Columbia,Private,Administration,"154,008,132",40
1997,British Columbia,Private,Administration,"152,464,563",39
1998,British Columbia,Private,Administration,"110,649,850",28
1999,British Columbia,Private,Administration,"113,533,249",28
2000,British Columbia,Private,Administration,"140,730,475",35
2001,British Columbia,Private,Administration,"227,611,975",56
2002,British Columbia,Private,Administration,"315,891,000",77
2003,British Columbia,Private,Administration,"268,583,000",65
2004,British Columbia,Private,Administration,"285,382,070",69
2005,British Columbia,Private,Administration,"333,888,000",80
2006,British Columbia,Private,Administration,"359,854,000",85
2007,British Columbia,Private,Administration,"394,679,000",92
2008,British Columbia,Private,Administration,"409,584,000",94
2009,British Columbia,Private,Administration,"412,362,000",93
2010,British Columbia,Private,Administration,"431,527,000",97
2011,British Columbia,Private,Administration,"458,928,000",102
2012,British Columbia,Private,Administration,"473,735,000",104
2013,British Columbia,Private,Administration,"513,788,000",111
2014,British Columbia,Private,Administration,"537,826,207",114
2015,British Columbia,Private,Administration,"445,686,215",93
2016,British Columbia,Private,Administration,"541,382,655",111
2017,British Columbia,Private,Administration,"581,058,058",118
2018,British Columbia,Private,Administration,"594,233,348",119
2019,British Columbia,Private,Administration,"599,639,253",119
1975,British Columbia,Private,Other Health Spending,"7,710,398",3
1976,British Columbia,Private,Other Health Spending,"7,985,203",3
1977,British Columbia,Private,Other Health Spending,"8,602,170",3
1978,British Columbia,Private,Other Health Spending,"9,682,853",4
1979,British Columbia,Private,Other Health Spending,"11,290,996",4
1980,British Columbia,Private,Other Health Spending,"13,401,572",5
1981,British Columbia,Private,Other Health Spending,"15,118,336",5
1982,British Columbia,Private,Other Health Spending,"15,601,518",5
1983,British Columbia,Private,Other Health Spending,"17,153,946",6
1984,British Columbia,Private,Other Health Spending,"19,644,989",7
1985,British Columbia,Private,Other Health Spending,"23,012,788",8
1986,British Columbia,Private,Other Health Spending,"27,768,644",9
1987,British Columbia,Private,Other Health Spending,"32,627,931",11
1988,British Columbia,Private,Other Health Spending,"41,610,555",13
1989,British Columbia,Private,Other Health Spending,"53,303,545",17
1990,British Columbia,Private,Other Health Spending,"63,678,601",19
1991,British Columbia,Private,Other Health Spending,"71,850,459",21
1992,British Columbia,Private,Other Health Spending,"69,359,581",20
1993,British Columbia,Private,Other Health Spending,"73,235,507",21
1994,British Columbia,Private,Other Health Spending,"78,304,869",21
1995,British Columbia,Private,Other Health Spending,"83,318,550",22
1996,British Columbia,Private,Other Health Spending,"63,488,916",16
1997,British Columbia,Private,Other Health Spending,"84,734,456",21
1998,British Columbia,Private,Other Health Spending,"113,009,534",28
1999,British Columbia,Private,Other Health Spending,"148,963,686",37
2000,British Columbia,Private,Other Health Spending,"121,009,863",30
2001,British Columbia,Private,Other Health Spending,"185,825,278",46
2002,British Columbia,Private,Other Health Spending,"201,151,303",49
2003,British Columbia,Private,Other Health Spending,"224,597,114",54
2004,British Columbia,Private,Other Health Spending,"169,312,013",41
2005,British Columbia,Private,Other Health Spending,"219,687,032",52
2006,British Columbia,Private,Other Health Spending,"206,083,427",49
2007,British Columbia,Private,Other Health Spending,"246,953,082",58
2008,British Columbia,Private,Other Health Spending,"289,279,088",67
2009,British Columbia,Private,Other Health Spending,"253,407,176",57
2010,British Columbia,Private,Other Health Spending,"442,576,410",99
2011,British Columbia,Private,Other Health Spending,"337,041,440",75
2012,British Columbia,Private,Other Health Spending,"401,324,832",88
2013,British Columbia,Private,Other Health Spending,"365,301,476",79
2014,British Columbia,Private,Other Health Spending,"579,255,472",123
2015,British Columbia,Private,Other Health Spending,"539,951,303",113
2016,British Columbia,Private,Other Health Spending,"606,644,042",125
2017,British Columbia,Private,Other Health Spending,"587,025,740",119
2018,British Columbia,Private,Other Health Spending,"693,475,254",139
2019,British Columbia,Private,Other Health Spending,"745,270,646",147
1975,British Columbia,Private,Total,"388,842,537",156
1976,British Columbia,Private,Total,"471,152,348",186
1977,British Columbia,Private,Total,"556,834,533",217
1978,British Columbia,Private,Total,"599,902,892",229
1979,British Columbia,Private,Total,"643,351,357",241
1980,British Columbia,Private,Total,"807,949,068",294
1981,British Columbia,Private,Total,"879,085,505",311
1982,British Columbia,Private,Total,"943,122,111",328
1983,British Columbia,Private,Total,"1,026,937,349",353
1984,British Columbia,Private,Total,"1,159,209,555",393
1985,British Columbia,Private,Total,"1,227,140,627",412
1986,British Columbia,Private,Total,"1,317,231,057",439
1987,British Columbia,Private,Total,"1,444,928,198",474
1988,British Columbia,Private,Total,"1,597,120,810",513
1989,British Columbia,Private,Total,"1,772,980,444",555
1990,British Columbia,Private,Total,"1,985,950,982",603
1991,British Columbia,Private,Total,"2,159,538,498",640
1992,British Columbia,Private,Total,"2,291,184,241",661
1993,British Columbia,Private,Total,"2,427,012,819",680
1994,British Columbia,Private,Total,"2,533,205,148",689
1995,British Columbia,Private,Total,"2,574,307,159",682
1996,British Columbia,Private,Total,"2,689,388,301",694
1997,British Columbia,Private,Total,"2,889,353,011",732
1998,British Columbia,Private,Total,"3,109,842,097",781
1999,British Columbia,Private,Total,"3,310,259,630",825
2000,British Columbia,Private,Total,"3,586,753,682",888
2001,British Columbia,Private,Total,"3,860,321,259",947
2002,British Columbia,Private,Total,"4,218,029,482","1,029"
2003,British Columbia,Private,Total,"4,466,497,009","1,083"
2004,British Columbia,Private,Total,"4,893,719,085","1,178"
2005,British Columbia,Private,Total,"5,021,963,260","1,197"
2006,British Columbia,Private,Total,"5,858,297,685","1,381"
2007,British Columbia,Private,Total,"5,877,029,709","1,370"
2008,British Columbia,Private,Total,"6,561,554,959","1,509"
2009,British Columbia,Private,Total,"6,610,125,681","1,499"
2010,British Columbia,Private,Total,"7,210,947,951","1,615"
2011,British Columbia,Private,Total,"7,364,914,489","1,636"
2012,British Columbia,Private,Total,"7,643,063,777","1,674"
2013,British Columbia,Private,Total,"7,257,161,549","1,567"
2014,British Columbia,Private,Total,"8,072,346,898","1,715"
2015,British Columbia,Private,Total,"8,327,826,532","1,744"
2016,British Columbia,Private,Total,"8,643,314,396","1,779"
2017,British Columbia,Private,Total,"8,966,551,695","1,822"
2018,British Columbia,Private,Total,"9,380,872,379","1,879"
2019,British Columbia,Private,Total,"9,756,142,409","1,930"
1975,Yukon,Private,Hospitals,"464,300",21
1976,Yukon,Private,Hospitals,"651,900",29
1977,Yukon,Private,Hospitals,"746,800",33
1978,Yukon,Private,Hospitals,"849,000",37
1979,Yukon,Private,Hospitals,"1,037,400",45
1980,Yukon,Private,Hospitals,"1,210,400",53
1981,Yukon,Private,Hospitals,"1,264,300",53
1982,Yukon,Private,Hospitals,"1,428,700",58
1983,Yukon,Private,Hospitals,"1,445,900",61
1984,Yukon,Private,Hospitals,"1,520,900",64
1985,Yukon,Private,Hospitals,"1,527,600",63
1986,Yukon,Private,Hospitals,"625,972",26
1987,Yukon,Private,Hospitals,"732,959",29
1988,Yukon,Private,Hospitals,"918,671",34
1989,Yukon,Private,Hospitals,"961,179",35
1990,Yukon,Private,Hospitals,"957,912",34
1991,Yukon,Private,Hospitals,"958,238",33
1992,Yukon,Private,Hospitals,"941,904",31
1993,Yukon,Private,Hospitals,"926,549",31
1994,Yukon,Private,Hospitals,"996,527",34
1995,Yukon,Private,Hospitals,"1,100,313",36
1996,Yukon,Private,Hospitals,"1,032,435",33
1997,Yukon,Private,Hospitals,"1,589,245",50
1998,Yukon,Private,Hospitals,"1,786,245",57
1999,Yukon,Private,Hospitals,"1,990,633",65
2000,Yukon,Private,Hospitals,"2,023,043",66
2001,Yukon,Private,Hospitals,"2,417,948",80
2002,Yukon,Private,Hospitals,"2,589,668",85
2003,Yukon,Private,Hospitals,"2,316,043",75
2004,Yukon,Private,Hospitals,"2,896,623",92
2005,Yukon,Private,Hospitals,"2,620,385",82
2006,Yukon,Private,Hospitals,"2,715,997",84
2007,Yukon,Private,Hospitals,"3,220,829",99
2008,Yukon,Private,Hospitals,"3,174,371",96
2009,Yukon,Private,Hospitals,"3,165,778",94
2010,Yukon,Private,Hospitals,"3,717,787",107
2011,Yukon,Private,Hospitals,"3,715,601",105
2012,Yukon,Private,Hospitals,"3,898,863",108
2013,Yukon,Private,Hospitals,"4,084,657",112
2014,Yukon,Private,Hospitals,"4,267,352",115
2015,Yukon,Private,Hospitals,"4,494,592",119
2016,Yukon,Private,Hospitals,"5,617,432",146
2017,Yukon,Private,Hospitals,"6,392,357",161
2018,Yukon,Private,Hospitals,"6,792,403",168
2019,Yukon,Private,Hospitals,"7,188,624",177
1975,Yukon,Private,Other Institutions,"70,000",3
1976,Yukon,Private,Other Institutions,"86,100",4
1977,Yukon,Private,Other Institutions,"89,500",4
1978,Yukon,Private,Other Institutions,"94,400",4
1979,Yukon,Private,Other Institutions,"108,600",5
1980,Yukon,Private,Other Institutions,"120,700",5
1981,Yukon,Private,Other Institutions,"121,000",5
1982,Yukon,Private,Other Institutions,"132,100",5
1983,Yukon,Private,Other Institutions,"129,800",5
1984,Yukon,Private,Other Institutions,"133,100",6
1985,Yukon,Private,Other Institutions,"130,700",5
1986,Yukon,Private,Other Institutions,"123,700",5
1987,Yukon,Private,Other Institutions,"121,200",5
1988,Yukon,Private,Other Institutions,"105,700",4
1989,Yukon,Private,Other Institutions,"105,500",4
1990,Yukon,Private,Other Institutions,"98,800",4
1991,Yukon,Private,Other Institutions,"123,400",4
1992,Yukon,Private,Other Institutions,"118,000",4
1993,Yukon,Private,Other Institutions,"264,557",9
1994,Yukon,Private,Other Institutions,"397,304",13
1995,Yukon,Private,Other Institutions,"440,434",14
1996,Yukon,Private,Other Institutions,"751,872",24
1997,Yukon,Private,Other Institutions,"944,482",30
1998,Yukon,Private,Other Institutions,"626,977",20
1999,Yukon,Private,Other Institutions,"688,315",22
2000,Yukon,Private,Other Institutions,"7,037,228",231
2001,Yukon,Private,Other Institutions,"5,111,710",169
2002,Yukon,Private,Other Institutions,"7,259,700",239
2003,Yukon,Private,Other Institutions,"8,953,015",289
2004,Yukon,Private,Other Institutions,"10,346,760",329
2005,Yukon,Private,Other Institutions,"12,967,865",406
2006,Yukon,Private,Other Institutions,"14,732,963",457
2007,Yukon,Private,Other Institutions,"17,027,290",523
2008,Yukon,Private,Other Institutions,"19,519,011",590
2009,Yukon,Private,Other Institutions,"21,010,207",623
2010,Yukon,Private,Other Institutions,"25,299,111",731
2011,Yukon,Private,Other Institutions,"29,018,279",819
2012,Yukon,Private,Other Institutions,"30,453,253",840
2013,Yukon,Private,Other Institutions,"34,897,841",956
2014,Yukon,Private,Other Institutions,"32,437,794",873
2015,Yukon,Private,Other Institutions,"35,606,963",945
2016,Yukon,Private,Other Institutions,"37,130,716",963
2017,Yukon,Private,Other Institutions,"39,739,029","1,003"
2018,Yukon,Private,Other Institutions,"42,075,502","1,040"
2019,Yukon,Private,Other Institutions,"43,533,408","1,073"
1975,Yukon,Private,Physicians,"23,200",1
1976,Yukon,Private,Physicians,"27,600",1
1977,Yukon,Private,Physicians,"27,900",1
1978,Yukon,Private,Physicians,"28,800",1
1979,Yukon,Private,Physicians,"32,500",1
1980,Yukon,Private,Physicians,"35,400",2
1981,Yukon,Private,Physicians,"35,000",1
1982,Yukon,Private,Physicians,"37,700",2
1983,Yukon,Private,Physicians,"36,500",2
1984,Yukon,Private,Physicians,"37,000",2
1985,Yukon,Private,Physicians,"36,000",1
1986,Yukon,Private,Physicians,"33,700",1
1987,Yukon,Private,Physicians,"32,800",1
1988,Yukon,Private,Physicians,"28,300",1
1989,Yukon,Private,Physicians,"28,100",1
1990,Yukon,Private,Physicians,"26,100",1
1991,Yukon,Private,Physicians,"32,400",1
1992,Yukon,Private,Physicians,"30,800",1
1993,Yukon,Private,Physicians,"49,603",2
1994,Yukon,Private,Physicians,"38,532",1
1995,Yukon,Private,Physicians,"32,760",1
1996,Yukon,Private,Physicians,0,0
1997,Yukon,Private,Physicians,0,0
1998,Yukon,Private,Physicians,0,0
1999,Yukon,Private,Physicians,0,0
2000,Yukon,Private,Physicians,0,0
2001,Yukon,Private,Physicians,0,0
2002,Yukon,Private,Physicians,0,0
2003,Yukon,Private,Physicians,0,0
2004,Yukon,Private,Physicians,0,0
2005,Yukon,Private,Physicians,0,0
2006,Yukon,Private,Physicians,0,0
2007,Yukon,Private,Physicians,0,0
2008,Yukon,Private,Physicians,0,0
2009,Yukon,Private,Physicians,0,0
2010,Yukon,Private,Physicians,0,0
2011,Yukon,Private,Physicians,0,0
2012,Yukon,Private,Physicians,0,0
2013,Yukon,Private,Physicians,0,0
2014,Yukon,Private,Physicians,0,0
2015,Yukon,Private,Physicians,0,0
2016,Yukon,Private,Physicians,0,0
2017,Yukon,Private,Physicians,0,0
2018,Yukon,Private,Physicians,0,0
2019,Yukon,Private,Physicians,0,0
1975,Yukon,Private,Other Professionals,"1,025,800",47
1976,Yukon,Private,Other Professionals,"1,266,100",56
1977,Yukon,Private,Other Professionals,"1,321,500",59
1978,Yukon,Private,Other Professionals,"1,401,200",61
1979,Yukon,Private,Other Professionals,"1,622,900",71
1980,Yukon,Private,Other Professionals,"1,816,600",79
1981,Yukon,Private,Other Professionals,"1,836,600",77
1982,Yukon,Private,Other Professionals,"2,023,100",82
